GC content,GC content,GC content,Length,Length,Length,"Target structure, total loops","Target structure, total loops","Target structure, total loops",signal_to_noise,signal_to_noise,signal_to_noise
median,std,size,median,std,size,median,std,size,median,std,size
0.4485981308411215,0.11337716678950083,3030.0,86,2.3980189843921065,3030,5.0,2.079078690039226,3030,4.5405,2.7565335274691076,3030.0
0.32710280373831774,0.08619023677135351,2058.0,86,1.2849371560724825,2058,4.0,1.2706792590868614,2058,1.3615,1.6730953796306531,2058.0
0.42990654205607476,0.09446161380327868,1600.0,86,0.0,1600,6.5,2.2114602862980988,1600,6.866,2.8663887742478438,1600.0
0.43478260869565216,0.0679787278552268,2652.0,86,14.500089281275658,2652,4.0,1.8585965207637518,2652,2.339,1.581128655014172,2652.0
0.4368932038834951,0.08926431861572068,2188.0,86,14.301900605730527,2188,4.0,2.019600698671746,2188,2.8805,1.5183423087510706,2188.0
0.4230769230769231,0.10549163022713139,1860.0,92,18.7094132535144,1860,4.0,2.5618989704011,1860,0.3295,6.139348692072739,1860.0
0.43820224719101125,0.1379343520379356,1874.0,83,13.912302093576505,1874,1.0,3.3071964235184472,1874,1.7235,2.583753640965638,1874.0
0.45384615384615384,0.11049365785710484,1905.0,83,15.523628974234715,1905,5.0,2.7984396499288042,1905,0.817,4.88770747642653,1905.0
0.43636363636363634,0.09337262663029115,996.0,106,17.247445020946152,996,6.0,2.094650398376046,996,2.1845,7.536744659580766,996.0
0.42342342342342343,0.06222436442096282,2134.0,90,15.29493535612338,2134,4.0,0.9314362395690589,2134,1.787,2.840779855350554,2134.0
0.4,0.06288357075579792,2142.0,106,13.266790871999504,2142,4.0,1.72062720360145,2142,1.073,3.021362406178645,2142.0
0.39215686274509803,0.08291939907976559,2494.0,81,7.894694520760206,2494,3.0,1.4879871745189142,2494,2.6189999999999998,2.586587198733934,2494.0
0.37735849056603776,0.0853853713195186,1554.0,81,12.759917634842008,1554,4.0,1.1841900163013521,1554,1.0630000000000002,2.0568337458416863,1554.0
0.411214953271028,0.06383059253846333,968.0,86,0.0,968,4.0,1.3240485320087323,968,1.886,0.9279886548786596,968.0
0.4140625,0.05412342945582038,1602.0,101,8.964892172503722,1602,6.0,0.8256244533368664,1602,2.1260000000000003,2.810638768633117,1602.0
0.3893129770992366,0.0738253111467597,963.0,110,0.3304484588593877,963,6.0,0.9624841259630388,963,1.907,1.7064359941428213,963.0
0.3969465648854962,0.05636561823980246,605.0,110,0.0,605,8.0,1.576111624499231,605,6.174,2.6898848149106183,605.0
0.4268879719929982,0.07292630731923758,1424.0,107,3.439763641842136,1424,6.0,2.640052069173892,1424,2.6790000000000003,2.5762560781840214,1424.0
0.45794392523364486,0.08386651817240491,1522.0,86,0.0,1522,6.0,2.3726693393876133,1522,2.936,2.996072826560499,1522.0
0.43157894736842106,0.0555655019263018,786.0,86,6.657804152785927,786,6.0,2.131974129818592,786,4.2375,1.8699052569258514,786.0
0.4528301886792453,0.07481617752051646,958.0,85,2.287300284900874,958,6.0,1.5254398266412623,958,3.502,2.329712091363598,958.0
0.42990654205607476,0.08152314610112146,1243.0,86,6.439741170400817,1243,4.0,1.6653898514189944,1243,4.228,2.320633777341197,1243.0
0.4423076923076923,0.0830089377935223,975.0,86,7.1836408921325825,975,4.0,2.0851246866000555,975,5.0,3.6020739355878217,975.0
0.4672897196261682,0.07248197323772361,965.0,86,5.895083652134862,965,5.0,1.3146309240593879,965,3.306,1.8764582185224103,965.0
0.425,0.06709498730136682,3378.0,86,12.29568290470707,3378,5.0,2.246735937397262,3378,1.568,1.0609949595185195,3378.0
