GC content,GC content,GC content,Length,Length,Length,"Target structure, total loops","Target structure, total loops","Target structure, total loops",signal_to_noise,signal_to_noise,signal_to_noise
median,std,size,median,std,size,median,std,size,median,std,size
0.45794392523364486,0.10153626317105795,1628.0,86,3.271498540837624,1628,5,1.8680880400891953,1628,5.205500000000001,2.8149536772859696,1628.0
0.3644859813084112,0.08714532651327693,808.0,86,0.0,808,4,1.4386045254352895,808,1.675,1.9265074504374868,808.0
0.42990654205607476,0.09182107911684616,1088.0,86,0.0,1088,7,2.1090775474334063,1088,6.9245,2.933721864908012,1088.0
0.4392523364485981,0.07090151808820189,683.0,86,14.55468397477287,683,5,1.8909246015945855,683,2.507,1.6858049704765634,683.0
0.42201834862385323,0.064859284619895,431.0,86,15.298345610100656,431,4,1.3510948495192128,431,3.089,1.660469871595002,431.0
0.4307692307692308,0.0835004574003584,591.0,92,20.488992056509225,591,4,2.4271543080180837,591,1.019,9.637047023350888,591.0
0.4230769230769231,0.09769590536996624,335.0,83,14.293817486572326,335,4,3.433553997781263,335,1.768,2.781442487348945,335.0
0.4423076923076923,0.07470759004646416,525.0,80,17.430395826114655,525,5,2.7066473095521837,525,3.082,6.6491314814531775,525.0
0.43846153846153846,0.07145785576030157,289.0,106,17.56130854641421,289,6,1.764174756674535,289,2.717,9.822706314760955,289.0
0.41904761904761906,0.060494443211453086,693.0,89,16.015629226406308,693,4,0.9290061841667798,693,2.592,3.670735028659927,693.0
0.40384615384615385,0.06475013732370458,577.0,106,13.674215201285824,577,5,1.686012076620768,577,1.342,3.783552800674775,577.0
0.4215686274509804,0.08242338485714885,586.0,81,7.897429035693969,586,2,1.2278301485867162,586,4.481,3.225071111102737,586.0
0.38235294117647056,0.09256072363963375,318.0,81,11.875225091506666,318,4,1.0421022143614673,318,1.4945,2.55990165425463,318.0
0.40186915887850466,0.05366123913243303,101.0,86,0.0,101,4,1.061849684501176,101,2.059,0.7528054895844709,101.0
0.4344262295081967,0.06757053311256318,176.0,101,7.308505541268562,176,6,1.0999262076783436,176,1.9615,3.540157242559354,176.0
0.40458015267175573,0.077739835517379,442.0,110,0.3717441849364622,442,6,0.9854212747359098,442,2.2445,2.1075452611171164,442.0
0.3816793893129771,0.061267819950721863,236.0,110,0.0,236,5,1.4584768445520422,236,6.198499999999999,2.8139045052359353,236.0
0.4032258064516129,0.0775227540437996,578.0,106,3.412852994349351,578,4,2.2511310463560945,578,3.271,3.0020297904739413,578.0
0.45794392523364486,0.08534629418616173,843.0,86,0.0,843,6,2.3511448841834692,843,3.188,3.1752880283558595,843.0
0.4485981308411215,0.06486469797514793,354.0,86,3.7399887974332655,354,7,1.546978834900062,354,4.3885000000000005,2.171345423259947,354.0
0.4528301886792453,0.0765381242957711,641.0,85,1.7156109648866538,641,6,1.4715830752186192,641,3.61,2.4723101007839583,641.0
0.42990654205607476,0.07786042879680219,681.0,86,1.9738880191305241,681,4,1.4224959966549147,681,4.536,2.4625570250343776,681.0
0.4392523364485981,0.08323922517700813,522.0,86,6.668240873553156,522,4,1.900629027885806,522,4.751,3.9165461540673077,522.0
0.4485981308411215,0.07580864230108847,547.0,86,2.76592005173336,547,6,0.9392271887724662,547,3.291,1.8860715673081585,547.0
0.42990654205607476,0.0696165726779425,666.0,86,8.547591999982892,666,5,1.984184686103543,666,1.663,1.1857581407693267,666.0
