package,mean,std
CROSS,0.3985830429193,0.0030430844072341923
SPOTRNA,0.5636728966766993,0.0022319926730904544
contrafold_1,0.6993141941937993,0.00178722738396095
contrafold_2,0.717627742599901,0.00178942593087422
contrafold_2_nc,0.6930249709964992,0.0017444220847438149
cyclefold,0.5399419803920004,0.002531327904779538
eternafold_A,0.7333524311489997,0.0018309630304181163
eternafold_B,0.7359480554271001,0.0017958795015442781
eternafold_C,0.7212846906682014,0.0018801315581058221
eternafold_D,0.7321398072365997,0.0018413550555850442
eternafold_E,0.7154625889299999,0.0018702376496225455
eternafold_F,0.7040752597383001,0.0019410722620741136
eternafold_G,0.7283683601243998,0.0018701105086169154
learntofold,0.4326802452615995,0.0032056629087719047
mxfold,0.6200210730304009,0.0023698474854736574
nupack_95,0.667509188164399,0.002169588349143232
nupack_95_nodangles,0.6795700576003001,0.002102006379837159
nupack_99,0.667509188164399,0.002169588349143232
nupack_99_nodangles,0.6795700576003001,0.002102006379837159
rnasoft_07,0.719293233130699,0.0018683085498335669
rnasoft_99,0.6811961178033007,0.002099217009150709
rnasoft_99_nodangles,0.6811961178033007,0.002099217009150709
rnasoft_bl_nodangles,0.7220957916175009,0.0018731835617196903
rnasoft_blstar,0.7240638381061989,0.0018403954753584252
rnasoft_lam-cg,0.7182938398541012,0.0018776797125680386
rnasoft_nom-cg,0.7120822743237,0.0018775121869926527
rnastructure,0.6714815732406005,0.002136130532907317
rnastructure_nocoax,0.6715917726044006,0.0021247206732461442
vienna_1,0.6565564985736,0.002214866614344114
vienna_2,0.672938817297,0.0021321883233687083
vienna_2_60C,0.7083206756929993,0.0019517330776987606
vienna_2_nodangles,0.6798969974830997,0.002090558337085789
vienna_langdon_pars,0.6786307662649007,0.002075220006189912
vienna_rnasoft_pars,0.6819026851651995,0.0021404014789528866
