package,spearman_mean,spearman_std,spearman_percentile_2.5,spearman_percentile_97.5,spearman_zscore_by_Dataset_mean,spearman_zscore_by_Dataset_std,spearman_zscore_by_Dataset_percentile_2.5,spearman_zscore_by_Dataset_percentile_97.5
nupack_99_nodangles,0.2017307992959827,0.1281164187281573,-0.06389564935,0.40561937600500003,-1.4799533335921706,0.5741628418139786,-2.4513144912155798,-0.17945453397072367
nupack_95_nodangles,0.20230039458168383,0.128577023812185,-0.0670277659225,0.4074938386625,-1.473922959688123,0.5746778158840268,-2.447588726104591,-0.18455706166103167
vienna_2_nodangles,0.20669702388875852,0.12993481707387103,-0.054131208165,0.42295119629500005,-1.4420496406497674,0.5665420512158729,-2.614852983102438,-0.25265817543301855
nupack_99_60C,0.2325737395872837,0.12801799863550659,-0.026218574072499987,0.4585886064925,-1.2372677602359814,0.6241196160033731,-2.2703607753340047,0.3016756476035445
rnasoft_99,0.2901016017491164,0.1141700504935837,0.03830201317,0.4695044262975,-0.7412940000806666,0.4746810736539255,-1.6760894601368672,0.23254293667705508
rnasoft_99_nodangles,0.29051750441194124,0.11440666348592625,0.03279444027000001,0.47026884404749997,-0.7361169594895748,0.4758167887635016,-1.6874072478109452,0.2331269063847786
nupack_95,0.35983695292013385,0.10712711868960546,0.15609944179750002,0.568889189635,-0.14884222464508975,0.6287815177176959,-1.4822807332422288,1.248326160270469
nupack_99,0.36117525046049087,0.10663170168665355,0.155121173325,0.56791479297,-0.1399401909073345,0.6243218193576957,-1.465118883460815,1.227492077918091
rnasoft_07,0.35087124932950786,0.11979579802032665,0.0957200721575,0.57310366133,-0.12118744776212609,0.6273565202487039,-1.364745242336786,0.9855103280340941
rnasoft_lam-cg,0.36607343206661774,0.13972762848375672,0.11065497431500002,0.6020710116749999,-0.04939567948982247,0.7834013475319823,-1.6124178560921913,1.2825628340150081
rnasoft_nom-cg,0.36727730703618316,0.1361025014708617,0.0710549174675,0.5945208682575001,0.00687049121335987,0.6973879832924403,-1.4281135682598383,1.103119806391743
vienna_2,0.4098272175551821,0.08282891130780436,0.24315083499750004,0.5510780663249999,0.17953710720080512,0.5022110571255527,-0.8843153825872497,1.1346176052934742
rnastructure,0.4157119349276093,0.07792628991112274,0.27144350326250005,0.5543454517475,0.1999521449736501,0.5609222468609792,-1.0163961605683667,1.2675418568734946
rnastructure_nocoax,0.41967588164925634,0.08204848444371614,0.25720207780250004,0.5638610066249999,0.25071719306716905,0.5421902613283733,-0.9024627642602208,1.2697321443119454
vienna_langdon_pars,0.42713819146960197,0.06767135620772417,0.29797657207,0.5564166131199999,0.2957249529415288,0.5883490681803262,-0.8805802601375449,1.353106754941444
contrafold_1,0.4421859326289816,0.10379659503115035,0.2632665284225,0.60940544547,0.5391854235859191,0.674092791029525,-0.9186289699079658,1.6502845771231063
rnasoft_blstar,0.43642859565688136,0.11485814338705908,0.2300302922375,0.633075684625,0.5660325287218146,0.7338686499934358,-1.0289222406175567,1.6478008166029185
vienna_1,0.45500528843268195,0.0783573732262001,0.30844246814750004,0.5957872566800001,0.5677016915437427,0.4633073956844369,-0.474392684433843,1.4144218307973275
vienna_rnasoft_pars,0.44847617112007704,0.08424829948395025,0.2834257867025,0.62049061398,0.5841399030016029,0.5659565230276076,-0.8336917432339619,1.537147461143627
vienna_2_60C,0.47303002560158364,0.09097486328913447,0.28382460943000004,0.6197880439850001,0.716425078428983,0.5028399647341807,-0.4345408706702435,1.6162921760422084
rnastructure_60C,0.4813629031582829,0.08757148229244849,0.306483910655,0.62743628909,0.7528338438781895,0.5106574267520363,-0.3602316131118152,1.7192893336134665
contrafold_2_nc,0.4731295193443583,0.09725312858077641,0.313373333595,0.644536608845,0.7698334763156814,0.6317208879041668,-0.49898270710620424,1.8294592140206876
rnasoft_bl_nodangles,0.4969496848652921,0.09363511751270347,0.32766164369,0.6637980783749999,1.0118732711940337,0.6175901468263674,-0.47609578104059314,1.9456685259199367
contrafold_2,0.5116511507585898,0.08076473437181414,0.356053099135,0.6485974754424999,1.1291430904741733,0.5279770821548906,-0.006778610261345773,2.2100048711128366
