package,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5
vienna_2_nodangles,0.15492090752096682,0.10622319833357295,-0.045204247647499994,0.3540156659275,-1.4765970605949537,0.47631798280523385,-2.37267077538683,-0.44845953839412717
nupack_95_nodangles,0.16053191123662386,0.1218587869642003,-0.08961056613249999,0.3581844736625,-1.4398726246567464,0.536214946850659,-2.4452430169792296,-0.31989157484479575
nupack_99_nodangles,0.16249382317817446,0.12224025475863833,-0.0855127086175,0.35964743749250006,-1.423083484531624,0.538946040150774,-2.42969464207115,-0.30999023039295637
nupack_99_60C,0.19933012279908321,0.12903516721970018,-0.055948461285,0.4159858695475,-1.1255524664632206,0.5715196141824662,-2.0957831627524253,0.10703744620690613
rnasoft_99_nodangles,0.2182599642332738,0.10650636819356288,0.008454015262500007,0.4032366339799999,-0.9927827957990837,0.46012327427632205,-1.9146171323969672,-0.0987013312419345
rnasoft_99,0.21964479582345914,0.10540713754282266,0.014375536402500009,0.40334238651499993,-0.9833236477740399,0.4596939841426753,-1.90579055972872,-0.10248367729254514
rnasoft_07,0.26035316574346634,0.11509115169968423,0.04142611205500001,0.4543669866025,-0.5371293990163547,0.569192610822473,-1.6602981872013287,0.5146470587983117
rnasoft_lam-cg,0.27787795007837457,0.13245870032535967,0.05084856537,0.49672325931,-0.37188478718386075,0.774192156888374,-1.646234804245377,1.0589493371871999
rnasoft_nom-cg,0.2887827263698823,0.1374300274927074,0.0359649560125,0.50867928984,-0.25621530545243626,0.7607007320741133,-1.618811604882812,1.1868855317771
nupack_95,0.31485405003347616,0.10731549290706005,0.1199078294275,0.5091078231674999,-0.18577538361894003,0.5367201195357819,-1.3711998210688126,0.8242317145782638
nupack_99,0.3351743093496071,0.11575439669981899,0.1267399339275,0.5879337271374987,-0.06468014619821802,0.6300825595339745,-1.2657800634632856,1.3491144943375877
vienna_1,0.3584515680171922,0.140758185845269,0.052163531502500006,0.5857942568725001,-0.015692713023211596,0.9289524762652558,-1.9377231173488767,1.5141874133625897
rnastructure_nocoax,0.3736873739210841,0.10416932695714069,0.16467629765500003,0.5621484932425,0.1855969573858473,0.6635533563897829,-1.1801845085222749,1.3818646071999763
vienna_2,0.37468854543332164,0.09973573575415133,0.152142483715,0.5513551512424997,0.22149026251489523,0.5993123032873001,-0.951241688648285,1.4425635817920182
vienna_langdon_pars,0.3827588241546918,0.10181952144254186,0.1586095642925,0.5827337696425,0.26306096518307964,0.6263424236054285,-0.9261739732988965,1.477574143214191
rnastructure,0.3996890085624754,0.11119922636913071,0.16965993906000001,0.6132354058099999,0.3727886069408032,0.718083409913024,-1.0064443720671439,1.7344820656987927
vienna_rnasoft_pars,0.3874643143810349,0.11054728176308182,0.155104013305,0.580361150305,0.3787825858014105,0.58651412161073,-0.7756484466620506,1.4988799360388783
rnasoft_blstar,0.37352885014245274,0.1164180031250953,0.16671566910750002,0.5563412644325,0.4413719951145597,0.7792185850110906,-1.1224358564789358,1.7536190672205105
contrafold_1,0.3905334287564321,0.11078640045940567,0.20149586546999998,0.5590855021175001,0.45362934832575863,0.7290537359432054,-1.1980476279980734,1.6707111265717913
vienna_2_60C,0.42373803643029256,0.1166869819876066,0.1773323431025,0.6688492537199998,0.6345974010832665,0.6114443923910107,-0.460471353869213,1.9380462953680322
contrafold_2_nc,0.417999895905235,0.12065532239698891,0.12678178165499998,0.5956664424124999,0.6576005524744506,0.6659441571433264,-0.9071098720350024,1.674374507769856
rnasoft_bl_nodangles,0.4231147738763737,0.1033317637694137,0.21509788819,0.570695617135,0.7931403764273134,0.6928719688521219,-0.6164180063008096,1.9094382384642157
rnastructure_60C,0.45133398057770524,0.1179819693778913,0.188408930255,0.6991420747349999,0.8249348158735935,0.6238038984253562,-0.3269354346230451,2.1235918251035018
contrafold_2,0.45858862071656437,0.11761568913545131,0.17045156939750003,0.61240133422,1.041553568966303,0.6662881967450205,-0.4871387227395839,2.2520258000060447
