package,Dataset,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5,window_size,Lev_filter,Class
contrafold_2,"Simon,2019 Invitro",0.16435023158530007,0.17947828141575084,-0.19673886585249997,0.505480083615,0.3242063230292006,0.8293830003491073,-1.4459691608630223,1.7416113521232575,300,40,viral_gRNA
contrafold_2,"Simon,2019 Invivo",0.007863874127900005,0.1868267503751198,-0.3282057429975,0.3782724706474999,0.46567406411833656,0.8470626492517549,-1.3157637470866894,1.9242914515001457,300,40,viral_gRNA
eternafold_B,"Simon,2019 Invitro",0.18997190203990025,0.1787576159256019,-0.17527720850750003,0.519234117705,0.4723771468139345,0.8232418340936039,-1.2269024958400716,1.8154646349697945,300,40,viral_gRNA
eternafold_B,"Simon,2019 Invivo",-0.015221682102100008,0.20541505902970045,-0.396889246565,0.39627339154749996,0.35040549428482637,0.8998072238536309,-1.423194516303767,1.8812443886348738,300,40,viral_gRNA
rnasoft_blstar,"Simon,2019 Invitro",0.18738129902709988,0.173495727576158,-0.1393513947125,0.5100810532174997,0.4573589322018146,0.8079727514339013,-1.2339106123440216,1.8402266392105153,300,40,viral_gRNA
rnasoft_blstar,"Simon,2019 Invivo",-0.018096061820799994,0.18945636571278557,-0.366240749075,0.36883493112,0.35482777684120487,0.8411538061827242,-1.3500270930602696,1.8114662180278671,300,40,viral_gRNA
rnastructure,"Simon,2019 Invitro",-0.010728906182999993,0.19078777181761394,-0.38518274623500004,0.3650059253675,-0.5010404489071167,0.856719344708352,-1.9077136968230786,1.3778142950080163,300,40,viral_gRNA
rnastructure,"Simon,2019 Invivo",-0.09277080961650004,0.17681182224183256,-0.4356803028525,0.2522697508925,-0.002764095546258765,0.8482149415280142,-1.6213455020912249,1.580049522471431,300,40,viral_gRNA
rnastructure_60C,"Simon,2019 Invitro",0.026768783015300012,0.18960529378751045,-0.35985489479250005,0.37401546392749996,-0.3118647986167627,0.8604833460619187,-1.8005282646232446,1.4131735185004117,300,40,viral_gRNA
rnastructure_60C,"Simon,2019 Invivo",-0.17941836742350023,0.18480791600459884,-0.531779793635,0.19327905320249983,-0.39739738832277915,0.8242461752649969,-1.8122636002423689,1.3398140943585009,300,40,viral_gRNA
vienna_2,"Simon,2019 Invitro",0.04778348043469999,0.19663523582332215,-0.34790422602,0.423837185965,-0.21051141339617235,0.8640855922233542,-1.7634505575580792,1.408366310974805,300,40,viral_gRNA
vienna_2,"Simon,2019 Invivo",-0.17594995574759992,0.18838654072391942,-0.5368984325875,0.19356000822249997,-0.4030203545011683,0.8439299672061867,-1.7951737138397292,1.3712355638007458,300,40,viral_gRNA
vienna_2_60C,"Simon,2019 Invitro",0.044825510391699956,0.1982956495665262,-0.333275888175,0.41924678031250007,-0.23052574112489765,0.8845165896554726,-1.7982429248571798,1.5531937733208097,300,40,viral_gRNA
vienna_2_60C,"Simon,2019 Invivo",-0.1746118028609002,0.19383747490526457,-0.5320555403275,0.21834228586499993,-0.36772549687416256,0.8591792980905952,-1.748843317004276,1.436530226309247,300,40,viral_gRNA
contrafold_2,"Sun, 2019 HEK293 chromatin in vitro",0.1526320240874997,0.022049262555165892,0.1089035441425,0.1940150144875,-0.7444187214226313,0.6846086876201752,-1.8862075217218903,0.7158476845709418,300,40,mRNA
contrafold_2,"Sun, 2019 HEK293 chromatin in vivo",0.16586691482700014,0.05635743905617359,0.0486817593825,0.2722433362174999,-0.08874247185819463,0.9288061193973405,-1.764646536212695,1.6246541800580225,300,40,mRNA
contrafold_2,"Sun, 2019 HEK293 cytoplasm in vitro",0.14338930476860007,0.017738331945686546,0.1076449885425,0.175904517515,0.47323976614275826,0.5892425670835556,-0.7160460609760633,1.5319016837975739,300,40,mRNA
contrafold_2,"Sun, 2019 HEK293 cytoplasm in vivo",0.13159859439280008,0.03146664741677415,0.06952031050500002,0.19065148325499998,0.20645217181660225,0.7435866614424101,-1.267546797665866,1.589118326401017,300,40,mRNA
contrafold_2,"Sun, 2019 HEK293 nucleoplasm in vitro",0.1457842389369,0.017998043451576153,0.1096332342475,0.1800754252175,0.16580085630659608,0.5952709855658168,-1.048496315926575,1.242688356563024,300,40,mRNA
