package,Dataset,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5
contrafold_2,"101, FMN",0.5667426668765997,0.01798197723444557,0.5300551239575001,0.6009464844575,1.0849510982065809,0.26965685582989846,0.5076890199807498,1.5987942898823697
contrafold_2,"107, Theo",0.49487202767809974,0.05154135645975309,0.39819280488250003,0.5977689875400001,0.8881325573677067,0.4121125705245005,0.09860763381583601,1.6605911494637984
contrafold_2,"107, Trp",0.5508110894564997,0.04445303908029397,0.45377383988000003,0.6315679957800001,0.7182238471476293,0.37004296408493004,-0.06571691646658695,1.4128134307987827
contrafold_2,"93, FMN",0.1395582088624002,0.05786500666386931,0.0358686254375,0.2571450046675,0.7493037378472259,0.6835603838737475,-0.5467897704587285,2.1105526609984775
contrafold_2,"95, FMN",0.4993579002354006,0.03482823258392057,0.42723011369249997,0.5662147838025,1.3928373120630475,0.37037107945167996,0.6293647039210529,2.097012355009812
contrafold_2,"96, FMN",0.5380986600068993,0.06338593651352523,0.40315345420500004,0.6526969398,1.2612296484765408,0.5719727026041797,-0.016020723223591278,2.228917667527138
contrafold_2,"97, FMN",0.5981349700275997,0.023077808999907422,0.5531477164274999,0.6426406028325,1.5185073159790141,0.2409122455092968,1.0437682756254176,1.9929900928445663
contrafold_2,"98, FMN",0.24765312175579976,0.043958537657698214,0.15685416322749998,0.3359455186425,0.525421591716088,0.7890884110918636,-1.042905912250188,1.98927419415955
contrafold_2,"Ribologic, FMN",0.4991786894665995,0.017352833867199883,0.4653445446325001,0.5309118051025,1.2570978862131803,0.1568287824434421,0.9501728864532589,1.5579040695026165
contrafold_2,"Ribologic, Theo",0.4890241842509003,0.06710662540160588,0.3534228399175,0.6100787221274999,0.40461881553261564,0.40126549119888133,-0.4151319055685654,1.1258626288293665
contrafold_2,"Ribologic, Trp",0.44859234040100043,0.06327741691204705,0.31322230968500003,0.5610679678375,-0.03875123208988237,0.4530628293341125,-0.9696841319873133,0.7874065952013859
contrafold_2_nc,"101, FMN",0.5686405031531008,0.018319899443898974,0.5327284571875001,0.6029981838125,1.1153725119258768,0.2737939375304067,0.57449768792535,1.6545103737815223
contrafold_2_nc,"107, Theo",0.5133208599450999,0.04766357835324015,0.42254122036499997,0.605699122685,1.0523670861594672,0.38509624756576355,0.2432996200955058,1.7275119637622778
