package,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5,window_size,Class
contrafold_2,0.08952050890165009,0.2024691563707452,-0.31345014416000005,0.4697437933149996,0.42028309895514976,0.8367533104341011,-1.3347616619374563,1.8222502369104971,300,viral_gRNA
eternafold_B,0.0949112927258999,0.21860657801350264,-0.339430395265,0.4929333915624999,0.4284883359566071,0.8571607162381327,-1.3299054557701289,1.9126915326024272,300,viral_gRNA
rnasoft_blstar,0.07446340470320002,0.2057907930997746,-0.33122718081499997,0.4580933558925,0.3498074329249192,0.8226438171923446,-1.3977917896095142,1.7391929655312146,300,viral_gRNA
rnastructure,-0.048270264326750016,0.18636659204669814,-0.40856858701250004,0.32879226561749997,-0.24024032473587814,0.8623440070376802,-1.7787517827166743,1.4403487949047675,300,viral_gRNA
rnastructure_60C,-0.06693265134345008,0.22358257576271337,-0.49293679363250004,0.36484207997749973,-0.3172475518334812,0.8947422430474734,-1.8234155390803075,1.476360012766327,300,viral_gRNA
vienna_2,-0.06860215314015007,0.22474985533990346,-0.49966615665499997,0.34704041980249956,-0.31905160982568903,0.8576168971532611,-1.807557279002424,1.4047315075196924,300,viral_gRNA
vienna_2_60C,-0.06806634674999998,0.22511027284977442,-0.5102341438050001,0.35279666817250005,-0.322039381441627,0.8745152397918433,-1.818099017917389,1.386880944318332,300,viral_gRNA
contrafold_2,0.15345114821370023,0.030365924776809047,0.09760405036750001,0.22088908518750006,0.02626833028528071,0.8741019411176564,-1.7422109217264117,1.557833968148785,300,mRNA
eternafold_B,0.18725177274189983,0.02924603290908279,0.130128188815,0.25300648249,0.9910256133742058,0.7088749283124809,-0.6548055131401788,2.006781908848137,300,mRNA
rnasoft_blstar,0.13533007597203295,0.03620791322109047,0.056229280837500006,0.19798307509500004,-0.3534219275015852,0.7618247731579282,-1.7476323139946888,1.1388329223948395,300,mRNA
