package,Dataset,RMSE_mean,RMSE_std,RMSE_percentile_2.5,RMSE_percentile_97.5,RMSE_zscore_by_Dataset_mean,RMSE_zscore_by_Dataset_std,RMSE_zscore_by_Dataset_percentile_2.5,RMSE_zscore_by_Dataset_percentile_97.5
vienna_2_nodangles,1_FMN,4.4878677639254985,0.6774126923912172,3.3370597342099995,5.8549581246975,0.835687796966346,0.7018434309093585,-0.4896144549100737,2.1283603104958364
vienna_2_nodangles,2_FMN,2.689853562875093,0.15139754603595404,2.4191998716175,2.9920731347425003,2.5359957689549577,0.1533312375936118,2.2059205460869857,2.791615325540543
vienna_2_nodangles,3_FMN,2.1619976885878014,0.06764217464592731,2.0288004396900003,2.29144997825,1.7934013279962777,0.1760246303705711,1.4203643873976852,2.1064996603160733
vienna_2_nodangles,4_FMN,2.335970680736999,0.15991010918873044,2.0258349360975,2.6477419978675,1.4335517783830185,0.3868378398649258,0.5900604616287507,2.117074760959762
vienna_2_nodangles,5_FMN,2.664073984538198,0.039734828630617114,2.5894093500875,2.7423115078849998,-0.5085125249177196,0.141899213390422,-0.7768885527349229,-0.2256116431025869
vienna_2_nodangles,6_FMN,3.730194960337499,0.12801995665219715,3.47849616635,3.976032217775,1.9279309004378913,0.14914753004472608,1.617832770218543,2.2029728792418153
vienna_2_nodangles,7_FMN,3.3636223792115976,0.0465218805447811,3.27434443175,3.4560480118625003,0.8919611661996635,0.1673160014141901,0.5727720253747219,1.2114120179396735
vienna_2_nodangles,8_Theo,2.9790140896144037,0.13531899108921955,2.72969645219,3.2764622202525002,1.19571306260025,0.2957683419896466,0.5832335347445113,1.7659140074691224
vienna_2_nodangles,8_Trp,2.833360745705198,0.12314434397913109,2.6082910249975,3.0985476506975003,1.0397258825060487,0.3358311194903144,0.38757679143397966,1.6820785119472283
vienna_2_nodangles,Ribologic_FMN,2.200760432498801,0.038982273382508294,2.1251901183924997,2.2744293366174997,1.4725024575313201,0.11210852626429386,1.2453212362928343,1.6870531507242885
vienna_2_nodangles,Ribologic_Theo,2.588346143795995,0.12439097414843327,2.3519094854700002,2.83742874179,2.1767988687971376,0.1814463887996314,1.7928518838694483,2.495900453411757
vienna_2_nodangles,Ribologic_Trp,2.5102203523121003,0.14693661594981663,2.2293867811999997,2.7986612934774997,1.9097199693094553,0.2542281962208691,1.4014814384668508,2.347533090975966
rnastructure,1_FMN,4.266006320441499,0.4477545866233969,3.52900984528,5.2610296858275,0.5968730649178104,0.5071550839978004,-0.26176172332496206,1.5760755051588664
rnastructure,2_FMN,1.6844994133902962,0.10235576221004594,1.485024595315,1.8880088696425,0.4115552147038168,0.21429303159623186,0.009790319046373602,0.843797438196447
rnastructure,3_FMN,1.8089900145922981,0.04129941966056136,1.733489976965,1.893996447465,0.47362998724933564,0.150807913676507,0.19494990121114994,0.7846252300768997
rnastructure,4_FMN,2.092246997372099,0.160889971314489,1.7935820304325,2.427840350925,0.7190715182579973,0.4212466350353059,-0.08260914360755127,1.5649858970414325
rnastructure,5_FMN,2.9920031511831975,0.03381109151514597,2.9236982452175,3.053420129775,0.7714881622308284,0.12111337727058039,0.5203460272157671,1.0018662410072714
