package,EXT_SOURCE,F-score_mean,F-score_std,F-score_percentile_2.5,F-score_percentile_97.5,F-score_zscore_by_EXT_SOURCE_mean,F-score_zscore_by_EXT_SOURCE_std,F-score_zscore_by_EXT_SOURCE_percentile_2.5,F-score_zscore_by_EXT_SOURCE_percentile_97.5
eternafold_C,Gutell Lab CRW,0.684429323214286,0.23258450342377734,0.20933445,1.0,0.4363896607702477,0.6072616390903479,-0.8889040071374995,1.6319822924751064
eternafold_C,RCSB Protein Data Bank,0.8810098400000002,0.1618532385796569,0.4924012,1.0,0.3005324620035804,0.4290944034876108,-0.6224982618361135,1.0331865941958447
eternafold_C,RNase P Database,0.7227024596774193,0.20820490285669904,0.021380925000000054,1.0,0.3834285613021406,0.7844340513600129,-0.9933469541215088,1.825100325966821
eternafold_C,Rfam Database,0.6465739166666665,0.2022505715027079,0.24764912499999997,0.910642,0.4843316617195344,0.5884983415339093,-0.6947434061683124,1.747875402982783
eternafold_C,Sprinzl tRNA Database,0.7451456785714284,0.23011554813699436,0.180438,1.0,0.434029316796541,0.6853702478193441,-0.7996905508754499,1.7364356961019192
eternafold_C,tmRNA database,0.7977047999999999,0.21598377198597327,0.37297254999999996,0.990421075,0.18529998705794903,0.7257142183522587,-0.7711700166964232,1.2970432112287444
contrafold_2,Gutell Lab CRW,0.6617537928571431,0.2438692981859843,0.14813432500000004,1.0,0.2805721270500791,0.6320406628347055,-1.3135896301866978,1.4339702321928902
contrafold_2,RCSB Protein Data Bank,0.8869773599999999,0.15785511953683987,0.47752880000000003,1.0,0.32906163794135035,0.39924646688787196,-0.4749619970485869,0.9711777967905441
contrafold_2,RNase P Database,0.7151660483870969,0.19302375689784143,0.3532692,1.0,0.3035060799438345,0.7890373373215965,-1.3987946471391615,1.6835767922910965
contrafold_2,Rfam Database,0.6341325937500002,0.20222059891324928,0.25506012499999997,0.9303665,0.4696112719876173,0.512546683530754,-0.4791381038249588,1.613493373773539
contrafold_2,Sprinzl tRNA Database,0.6971255130952378,0.2496685089319821,0.003575482500000009,1.0,0.1547676377904809,0.7082215974693059,-1.3064239342190729,1.3258587200069318
contrafold_2,tmRNA database,0.8019025000000001,0.20005202249095666,0.39767822499999994,0.990421075,0.22756766349930743,0.5480201864225139,-0.662162521061118,0.9797171785534848
eternafold_D,Gutell Lab CRW,0.6693146553571426,0.23408158293005885,0.18505667499999998,1.0,0.27853021508981785,0.5396231050196153,-0.9587219578172184,1.2895292769115811
eternafold_D,RCSB Protein Data Bank,0.89400132,0.15449207277686886,0.530687,1.0,0.38945590360263393,0.352080526240253,-0.5816657328001387,0.8637418470866032
eternafold_D,RNase P Database,0.6963616129032256,0.21208115487815174,0.17558772500000003,1.0,0.15954017893803019,0.6203138422300822,-0.9912818103757197,1.2598745856015854
eternafold_D,Rfam Database,0.6060169958333332,0.22108139963155174,0.192265875,0.874330375,0.17504696362211325,0.5504736025571111,-0.9870600888525125,0.9796819249759736
eternafold_D,Sprinzl tRNA Database,0.7399528333333334,0.22366152189423233,0.309462775,1.0,0.25768841668140735,0.6768456909411243,-1.0439376688359197,1.3661461162710786
eternafold_D,tmRNA database,0.7887983000000001,0.3002764383760219,0.135680175,0.9923706999999999,0.17471203398400945,0.5071821179962841,-0.728537383101465,0.6982556615603116
eternafold_B,Gutell Lab CRW,0.6586001517857145,0.23654721426215944,0.181951675,1.0,0.2718763727518997,0.5205870933994919,-0.9056998588541068,1.086948377959656
eternafold_B,RCSB Protein Data Bank,0.8959830399999998,0.14905072412730283,0.5463452,1.0,0.389052430608156,0.38637478955062843,-0.5450867546794926,1.0365416863481096
eternafold_B,RNase P Database,0.7027883064516126,0.19447364867055555,0.311711975,1.0,0.15373165591585605,0.5894653831725674,-0.9826568871650745,1.2187197106879784
eternafold_B,Rfam Database,0.5894156270833335,0.22787280448785666,0.12483425000000001,0.8759575,0.09381483609883645,0.5292607745263701,-1.011796306777666,0.8954645561292387
eternafold_B,Sprinzl tRNA Database,0.7231215357142855,0.24820415482039612,0.01321245000000003,1.0,0.2523970240424672,0.6512835922913659,-0.8283752105687479,1.468834048070192
eternafold_B,tmRNA database,0.7908719000000001,0.3004201325460544,0.135680175,0.9923706999999999,0.18490149896958524,0.5202875156622508,-0.728537383101465,0.7772240151985242
eternafold_A,Gutell Lab CRW,0.6667521571428576,0.23263272849254424,0.19213675,1.0,0.2771259401484666,0.5150667099499259,-0.924338030038295,1.1625378008657488
eternafold_A,RCSB Protein Data Bank,0.8943975599999999,0.15163992640849353,0.5445500000000001,1.0,0.40509806886641647,0.3931328043206204,-0.5816657328001387,1.0365416863481096
eternafold_A,RNase P Database,0.6834662419354839,0.20594100712647348,0.254522475,1.0,0.01712985645229032,0.6518419888867575,-1.31367797002587,1.0975438113058305
eternafold_A,Rfam Database,0.6033596208333335,0.22221929821076244,0.194180875,0.88604575,0.17758454753884534,0.557185511820221,-1.0059479731076995,1.0329251294776338
eternafold_A,Sprinzl tRNA Database,0.7087435964285712,0.23929589427680634,0.05731006750000002,1.0,0.13211381564434238,0.6505714166246508,-1.235266519650277,0.9907701831209198
eternafold_A,tmRNA database,0.7898151,0.3003290190276324,0.135680175,0.9923706999999999,0.17970848845803214,0.5133975641569696,-0.728537383101465,0.7369781837339875
vienna_2,Gutell Lab CRW,0.6163741482142858,0.252170509224431,0.0,1.0,-0.01917539389335703,1.0217926113931313,-2.26704150136859,2.18520569544026
vienna_2,RCSB Protein Data Bank,0.85930976,0.17203040542718023,0.4293492,1.0,0.1433941947189143,1.0866323705401555,-2.511534717337634,1.8821787957429033
vienna_2,RNase P Database,0.6787567903225805,0.2298512773904481,0.11654545,1.0,-0.032284896954570735,1.12245038169133,-2.337558948724958,2.0230709123646973
vienna_2,Rfam Database,0.607261540625,0.2356027744335915,0.188664375,0.935414,0.24766219063255038,1.007138500242884,-1.744143079626577,2.1858981003389895
