package,Dataset,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5,window_size,Class
contrafold_2,"Dadonaite,2019",0.31663798916099994,0.006918269869185095,0.30304064408750003,0.3296430709775,0.8157883878634794,0.16897172779716965,0.4837595321595062,1.1271530070453106,300,viral_gRNA
contrafold_2,"Huber, 2019 in virion",0.4009700388182001,0.002693879406835088,0.39588280103,0.4062138490875,0.8867306252391495,0.057865093406925576,0.7739571860839074,0.994630090745713,300,viral_gRNA
contrafold_2,"Huber, 2019 in vitro",0.17133720834130006,0.007695662417441064,0.15651337439250002,0.18709271360250002,0.05870269119264769,0.6762162280887978,-1.3005896068420888,1.3894907536605143,300,viral_gRNA
contrafold_2,"Kutchko,2018",0.41240803385700037,0.005047444024512814,0.40250643642750006,0.4222569088025,0.7452245692028365,0.12495428344103843,0.5021228638626486,0.9882946421439034,300,viral_gRNA
contrafold_2,"Lavender,2015",0.33968089786029987,0.006085737962102508,0.3277351955625,0.35175198761500004,0.5575397170683825,0.15478477058766793,0.2510390616358578,0.8602246839889162,300,viral_gRNA
contrafold_2,"Siegfried,2014",0.3651577200746998,0.005850377122247714,0.3534623012675,0.37634076967249996,0.5744314053751312,0.157408445018531,0.2507860730507637,0.8644463303164672,300,viral_gRNA
contrafold_2,"Simon,2019 Invitro",0.581019661243201,0.006969649508031051,0.5673922675,0.59433922632,0.563430184425153,0.1310642448623631,0.3041685132111207,0.8233721358256755,300,viral_gRNA
contrafold_2,"Simon,2019 Invivo",0.48509136031130007,0.008381722950316481,0.4686610358425,0.501662458795,0.9329550461302597,0.1492091150114862,0.6324100982167351,1.216145026012176,300,viral_gRNA
contrafold_2,"Watters,2018",-0.018123540703599995,0.026700722341297486,-0.070139197045,0.031262143659999984,0.007847804511113861,0.8705845706028429,-1.6712551033802516,1.6233387841494056,300,viral_gRNA
contrafold_2,"Watts,2009",0.4804048680526,0.008235194242454719,0.46520054086000007,0.496513348025,0.4730161112760246,0.2129256619730284,0.0671132776153164,0.8864698706632232,300,viral_gRNA
eternafold_B,"Dadonaite,2019",0.3435336059791998,0.006906027380887087,0.3304078111125,0.35636190295000003,1.5689543826572765,0.13263243763633012,1.2944353776874826,1.8151349840399034,300,viral_gRNA
eternafold_B,"Huber, 2019 in virion",0.4199936652752998,0.002566101560977604,0.41513132680500003,0.4248725512875,1.3717090747680005,0.051956737656669756,1.269809518935545,1.4729981138495862,300,viral_gRNA
eternafold_B,"Huber, 2019 in vitro",0.18359476448120032,0.007997000057823764,0.1683435999425,0.19867557298750002,1.1686725007658836,0.5840278119845327,-0.3020142251385149,2.033693352432607,300,viral_gRNA
eternafold_B,"Kutchko,2018",0.43454454692560046,0.00504420631909415,0.4249262648925,0.44452411564000005,1.3629087253949712,0.10929720130736167,1.1544253638693527,1.57751414716447,300,viral_gRNA
eternafold_B,"Lavender,2015",0.3706126698517999,0.005995218426577348,0.35904212963750004,0.38278185929499997,1.4227285997276564,0.12615512841280796,1.1690215051335346,1.6489939919883956,300,viral_gRNA
eternafold_B,"Siegfried,2014",0.3901456356187001,0.0054021969372920475,0.37932140417500004,0.40050501097,1.3381436441561882,0.13384956003573314,1.0674028799558424,1.6018076075880037,300,viral_gRNA
eternafold_B,"Simon,2019 Invitro",0.6270681107566006,0.006589511806593298,0.6145991627925,0.6392089698600001,1.5424263793640036,0.09933332649380786,1.3474985387394773,1.7365075842204079,300,viral_gRNA
eternafold_B,"Simon,2019 Invivo",0.49447816706830133,0.008150105820581306,0.47835140014,0.510046799955,1.1338960280348858,0.14265102574907657,0.8393406574151021,1.3863827336023709,300,viral_gRNA
