package,RMSE_mean,RMSE_std,RMSE_percentile_2.5,RMSE_percentile_97.5,RMSE_zscore_by_Dataset_mean,RMSE_zscore_by_Dataset_std,RMSE_zscore_by_Dataset_percentile_2.5,RMSE_zscore_by_Dataset_percentile_97.5
contrafold_2_nc,1.2227610016851422,0.36335942291855117,0.5421623031675,1.83450071772,-1.1872457083002472,0.4309915272803255,-1.9355342551450658,-0.283973457782364
contrafold_2,1.2880997973285728,0.3848129695923198,0.5162604236,1.9376047234925,-0.9716570425764745,0.46356502444540143,-1.7349831256806796,-0.13269034301950378
rnastructure_60C,1.407368005641231,0.4477459822752638,0.7215111385274999,2.4322583586175,-0.5362063462721236,0.3012796390139085,-1.135713309388726,0.07041665892975382
vienna_1,1.4430422010409611,0.4875892646101887,0.8025681451125001,2.6002746718374996,-0.38488870503765604,0.6277360886051969,-1.4291619030200295,0.7195677764537521
contrafold_1,1.4798866510955107,0.4211724549214707,0.715314642265,2.191642509905,-0.30133151986815637,0.4622406296853527,-1.118919557806138,0.491678675683951
vienna_2_60C,1.52780448051454,0.4669530393446382,0.7366757295825,2.5488817422775,-0.13650940014278343,0.3098964768370507,-0.7845221380738682,0.436213097025274
vienna_rnasoft_pars,1.5594047462226612,0.4403275259645387,0.8296414140349999,2.5243089505175,0.018865357812572592,0.4338452189234882,-0.8510637905035322,1.0370351357734755
rnastructure,1.5671092850361648,0.47983260453671017,0.8663302604525001,2.7425556862000002,0.025068856677681186,0.40979339289810013,-0.6719963489475095,0.877848967262199
vienna_langdon_pars,1.5940564443360121,0.44161193491665224,0.791560964385,2.611433966105,0.13238393232909734,0.4266851798507292,-0.7082109263514725,1.0081946398311261
vienna_2,1.7214306641754618,0.4897102416292581,0.9141626042325001,2.9410056091975,0.5164580548530373,0.37614037841247994,-0.2072284359478475,1.2860704898646587
rnastructure_nocoax,1.718829005088699,0.4740682362941912,0.9839914235575001,2.8573533872525005,0.5250381382612285,0.3538587925934982,-0.1761696225374286,1.2072375296627997
vienna_2_nodangles,2.2436289000164185,0.47956028425776265,1.3704789432275002,3.0243433767975003,2.3000243822638327,0.5003289572192405,1.1232685813588041,2.87563024681583
