package,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5
eternafold_F,0.29231185565311174,0.11259898791693164,0.022226816432500004,0.45292101412749985,-0.9426299880930702,0.9574244137522179,-2.412751541586519,1.209869536243622
nupack_99,0.30052090971088957,0.17270290323496332,-0.19698991903000002,0.5342157644975,-0.7222128090392275,0.8882141083043568,-2.0932996750287267,1.3644978210049514
vienna_2,0.31972206388484353,0.17743128662441063,-0.21910307261,0.5045577544825,-0.480843549919451,0.6938007524578808,-1.6668289747602039,1.006755807182961
rnastructure,0.3323638584422325,0.17165930549282787,-0.20321028445,0.514401975925,-0.3741489535528467,0.7560439492357455,-1.6663653521265638,1.2254760938004379
rnasoft_blstar,0.3355232415304881,0.1655379640603366,-0.14796703128,0.5536452733799999,-0.27893952674722766,0.8385913132094099,-1.750474146155418,1.5384226955679279
vienna_2_60C,0.36368940978423253,0.17802453378801916,-0.17751986917499996,0.558111317145,-0.057347783088519,0.7808475959968083,-1.4049633402988917,1.5924955839091153
eternafold_G,0.3530777408638654,0.21566471369729917,-0.2845595783275,0.60129248511,-0.043380549933581085,0.9603215497202683,-2.06793000768904,1.4407291210922728
eternafold_C,0.36838623377762236,0.2079825748498585,-0.30579486637500003,0.5646746289550001,0.05473918294541695,0.6699744211584113,-1.3444931008144125,1.3181235240942433
rnastructure_60C,0.3835663885390426,0.17019304434877772,-0.13790229664749995,0.5617635242375001,0.13503643661650033,0.7405126270511221,-1.12143757185054,1.5696672265711304
eternafold_E,0.39006333760070105,0.2204805713282219,-0.29117668402,0.597613888795,0.30967388736130574,0.760443900916172,-1.3309818813781973,1.6608028817354306
contrafold_2,0.38867213259085603,0.22288631844529497,-0.3012443163675,0.5952736648725001,0.31071848758041754,0.7688603560446776,-1.3342834322679464,1.630754721008562
eternafold_D,0.4015443343439897,0.21836227126283014,-0.2751419371549999,0.6213773312975,0.4738625960162897,0.913170734853239,-1.8975457315849242,1.820630149424563
eternafold_A,0.4298403977038658,0.23282860118093934,-0.276233784435,0.64422601949,0.7227099675497733,0.8669288001795806,-1.3019496495813796,1.9910685607729652
eternafold_B,0.4398246439709999,0.2283923290202849,-0.27597599847000004,0.6562338483825,0.892762602304214,0.7958342988716004,-1.0172516829702272,2.056383232595228
