package,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5
vienna_2_nodangles,0.15528271589224182,0.10690492829793047,-0.0451550059875,0.3529954131175,-2.120994540766147,0.5674985721808669,-2.8826498937199454,-0.7583653524886126
vienna_2,0.3615182608559996,0.09412007183917157,0.15141157996500001,0.5208857036024999,-0.18898998953119628,0.5659741965550771,-1.3439377457859116,0.9638513636263912
rnastructure_nocoax,0.37291288439711867,0.10451724694830661,0.1642705291075,0.5642731330025,-0.10642963163013547,0.6459556666891761,-1.4158156363518621,1.130927595512752
vienna_langdon_pars,0.38349786966652605,0.10073119909675542,0.16449074128750002,0.5819668804875,-0.01361017676445958,0.6537551683967852,-1.3007073790241626,1.2340184521191513
vienna_1,0.3860493492707029,0.11122683321465673,0.13878124345000004,0.5824931798375,-0.003783285393581385,0.6872226728542177,-1.5287701315083981,1.3106947728999447
rnastructure,0.38807402932691154,0.1087156694860126,0.1670852562075,0.6106858647125,0.010953141199754993,0.6654704014173181,-1.2381437009964011,1.37374727164606
vienna_rnasoft_pars,0.3887946886671008,0.11081033714113823,0.1537869816325,0.5766474134199999,0.11014080614382966,0.6884682785459545,-1.2623712755544916,1.3827166618322917
contrafold_1,0.3902440942149824,0.11175161743052972,0.19860802841,0.55955900935,0.17304053609223585,0.8093815600027953,-1.5894882089293918,1.4793596153345985
vienna_2_60C,0.40923507116641816,0.10336483662721266,0.17700502934250004,0.5751915330375,0.30255903350774194,0.652000190464239,-0.9207449085818348,1.5253210016341714
contrafold_2_nc,0.42906517405370936,0.10214461797354267,0.22247258805,0.5945224674875,0.5321472250430918,0.6333681853782468,-0.7009407151502035,1.622577838082293
rnastructure_60C,0.43952839141379824,0.1048582259925302,0.1917526408325,0.6196098997,0.5397202030119936,0.5640605695985808,-0.5841664927117488,1.6374160578113255
contrafold_2,0.45012493380593394,0.10815322940679499,0.19232375473750002,0.5898172722249999,0.7652466790868775,0.6964757300600558,-0.6494560088252319,1.9542573193512733
