package,RMSE_mean,RMSE_std,RMSE_percentile_2.5,RMSE_percentile_97.5,RMSE_zscore_by_Dataset_mean,RMSE_zscore_by_Dataset_std,RMSE_zscore_by_Dataset_percentile_2.5,RMSE_zscore_by_Dataset_percentile_97.5
contrafold_2_nc,1.3350486555145706,0.2449004167483777,0.9926234042925001,1.8584426803799998,-1.1717785440762827,0.5451262679032007,-1.9382533821065144,0.32935313905556585
contrafold_2,1.3431908042508043,0.25850339786084564,0.9629274811874999,1.946332603405,-1.093855552987404,0.25870034358575983,-1.6230407613994589,-0.6196912502252738
contrafold_1,1.440943787159337,0.41640082592769495,0.9640181891775,2.68466548107,-0.9127821719603436,0.9484052127761206,-1.8113094647499979,2.130340099825284
vienna_2_60C,1.6162960669469093,0.3019536955050022,1.18503426612,2.30612096778,-0.3638717336055192,0.3300570053838468,-1.0274357449088183,0.21813552407283318
rnastructure_60C,1.6510641527813308,0.30717266944846694,1.220700235645,2.3514220789799998,-0.26268006710616215,0.3732684263618841,-0.97767627867455,0.35458178090899467
vienna_rnasoft_pars,1.7813081221384839,0.338048529991174,1.23678525995,2.6313552462975,0.0015517782889279423,0.3764431859360041,-0.8967254285762709,0.7754776882187413
vienna_2,1.8975179512035463,0.3721872004888509,1.4393703595824998,2.87961895905,0.26833243371511634,0.30779818296207184,-0.3879193052083082,0.917029404813292
rnastructure_nocoax,1.9257641311503413,0.4257102530714839,1.4356102699225,3.03475683249,0.3311331704924167,0.39797247194751245,-0.38883082974489913,1.1733265969589692
rnastructure,1.9269126503145537,0.4146351593133352,1.426926396315,3.0294788883024997,0.3415373835693653,0.37197567243843516,-0.43858053721402934,1.1157949848025492
vienna_langdon_pars,1.9366948387377585,0.3476815058605871,1.4752896311725,2.8169186217999997,0.3734127857518497,0.2961386213365102,-0.27324150745954146,0.9250072431941683
vienna_1,1.962478468351911,0.41630319420857936,1.3708049808325002,3.1580201305049997,0.41908141796361376,0.3800466588438251,-0.6131419196920164,1.1852223891291305
vienna_2_nodangles,2.681748499262068,0.533908974651244,1.9653778435725,3.836367005425,2.0699190999544075,0.47006039454983706,1.167816421026971,2.931792362104861
