package,spearman_mean,spearman_std,spearman_percentile_2.5,spearman_percentile_97.5,spearman_zscore_by_Dataset_mean,spearman_zscore_by_Dataset_std,spearman_zscore_by_Dataset_percentile_2.5,spearman_zscore_by_Dataset_percentile_97.5
vienna_2_nodangles,0.19667326939299964,0.1126263087720882,-0.049491453500000004,0.38871572187250003,-1.2036562827220445,0.9257573845194712,-2.527061112251627,1.0767556663773985
vienna_2,0.24316619402142425,0.12711783020494893,0.011344892530000001,0.4920773669224999,-0.5935197425199356,0.7471829799370714,-1.9314387258600354,0.9572501950865973
rnastructure,0.25171518254022457,0.12804116966618964,0.017931038277500002,0.5032252132375,-0.45346283117623754,0.7395290212413921,-1.8192763600402106,1.1036278465079803
rnastructure_nocoax,0.2741480775827418,0.12132196561616705,0.04241318917000002,0.5006535376974998,-0.14831645984817227,0.6860728320809297,-1.5220842518941373,1.1883917786596307
vienna_2_60C,0.2918644476354064,0.12354246861637382,0.040317192782500004,0.47936945158249994,0.06136320178106482,0.7199756427238969,-1.3872128198217235,1.4408519610811426
contrafold_1,0.29546604767264173,0.12849821189990968,0.03617138897000002,0.5227764353799998,0.14341872392327262,0.8360978958333516,-1.5125795187925302,1.6070442304650543
vienna_1,0.2978662040930246,0.10082856477923728,0.09404430977000001,0.45610835553999984,0.15066500327955362,0.8510093293092709,-1.589919350645826,1.7591790304867707
rnastructure_60C,0.2994483207031822,0.13332147458427468,0.050318018595,0.51654017097,0.16226792360286482,0.7641524748570568,-1.3850992917020726,1.543441779610797
vienna_rnasoft_pars,0.2941437053788254,0.12185435558978658,0.05811782938750001,0.5461566954475,0.18287899958929407,0.981477229807086,-1.95620116786983,1.7693044450891386
vienna_langdon_pars,0.3082083516028922,0.11280041555447727,0.11677649888000001,0.5625918913274999,0.23304051078351196,0.7691758987812708,-1.338252009861946,1.6966656503418898
contrafold_2,0.3385529958464925,0.14001473859800204,0.053914757545000004,0.5838318768975,0.7318398239824091,0.8095926438381413,-1.1341945622657539,2.0188148780174178
contrafold_2_nc,0.3423177210637829,0.125515439005049,0.09262672679500002,0.574099485245,0.733481129324413,0.7539325698232442,-0.8201594029414638,2.0510731828643767
