package,Dataset,RMSE_mean,RMSE_std,RMSE_percentile_2.5,RMSE_percentile_97.5,RMSE_zscore_by_Dataset_mean,RMSE_zscore_by_Dataset_std,RMSE_zscore_by_Dataset_percentile_2.5,RMSE_zscore_by_Dataset_percentile_97.5
vienna_2_nodangles,1_FMN,3.5192448045907074,0.3326371209997976,2.8908483505725,4.2044221624,2.1463065393624676,0.31227300826971555,1.4626184667221538,2.679853431700232
vienna_2_nodangles,2_FMN,5.219701312699705,0.32010227666588587,4.6760672027600005,5.924660256319999,2.8461725768090207,0.15294237006233707,2.4748803905607324,3.06991235107942
vienna_2_nodangles,3_FMN,3.6772452366030994,0.13057494293160632,3.4239732507575003,3.9279562320475,2.9419633621246772,0.04787348133749972,2.837871150047437,3.0261197327341707
vienna_2_nodangles,4_FMN,2.8302321518211033,0.24517454762800228,2.390619022955,3.3323734565549996,2.2245544606271532,0.3196444096865867,1.5034549516517859,2.7704572419771014
vienna_2_nodangles,5_FMN,3.1193881391539984,0.11272782662127101,2.902005412505,3.3259764555399998,2.88053340203336,0.048955616713359885,2.772117170012108,2.963159459116126
vienna_2_nodangles,6_FMN,3.711468719478902,0.14060604638568766,3.4298603102775,3.9910257996375,2.391957044145086,0.12600840171674854,2.1310033140037103,2.6264402529434587
vienna_2_nodangles,7_FMN,2.8546071724867064,0.06871060147765813,2.7256552967824996,3.001194966485,2.363390511158929,0.08979148445169828,2.177889311373188,2.538910326639385
vienna_2_nodangles,8_Theo,4.0981221626785,0.20017686209126528,3.6943197688625,4.48892877852,2.9397704296596503,0.053589625041132405,2.8265124409539655,3.0316513064114847
vienna_2_nodangles,8_Trp,4.262559323468603,0.24264792174671593,3.769022855765,4.737291094855,3.0510012170786203,0.04738427138665263,2.9338414059910174,3.123331623061669
vienna_2_nodangles,Ribologic_FMN,2.4696377376080982,0.04961903123537462,2.370818354735,2.563203784475,2.5565158602256193,0.06339963677367937,2.424176022746964,2.670358760659594
vienna_2_nodangles,Ribologic_Theo,3.0335352084218057,0.16933231873330606,2.7112686803575,3.372279587775,2.3463930014350045,0.18755661088593634,1.9578080920677163,2.662352242431003
