package,spearman_mean,spearman_std,spearman_percentile_2.5,spearman_percentile_97.5,spearman_zscore_by_Dataset_mean,spearman_zscore_by_Dataset_std,spearman_zscore_by_Dataset_percentile_2.5,spearman_zscore_by_Dataset_percentile_97.5
vienna_2_nodangles,0.2069482753540914,0.12968388389067584,-0.054668171455000004,0.42007212363749996,-2.1873818829353824,0.5437948674981796,-2.919795135616597,-0.8133959596543237
vienna_2,0.4094345179514,0.08129985830850944,0.24598163859500002,0.5497961962775,-0.2215821505752127,0.5547990472387008,-1.2895005299137277,0.9209235504840061
rnastructure,0.4149284153141325,0.07797824443187587,0.27172113325,0.55555840438,-0.21278160944029928,0.5745342560261504,-1.3623009526084549,0.9846427718194729
rnastructure_nocoax,0.41970274298182264,0.08263065107066887,0.25869364808499995,0.5622915606125,-0.13219666601981475,0.5702721454591054,-1.277373946117748,0.9944677386025584
vienna_langdon_pars,0.4260926249443391,0.06767215770739676,0.2964681712975,0.5561572768499999,-0.10042291890187653,0.6300844839084337,-1.3377371139728151,1.0634192004063312
contrafold_1,0.44238442498066616,0.10417241659864591,0.2642704129875,0.6100445477025,0.15721513142246346,0.7731297163445859,-1.4542449810238545,1.416693736510542
vienna_1,0.44961552245255,0.07815277203649727,0.306514597455,0.58874001214,0.18288344642363202,0.5242508818710356,-0.9588918439403977,1.1889173658751884
vienna_rnasoft_pars,0.44799354986834966,0.08408381572988885,0.285632895415,0.6207867385075,0.2574721343568458,0.6824462051807879,-1.3076014453713138,1.378072427039485
contrafold_2_nc,0.47326705907273253,0.09638417685647742,0.3139613929825,0.6440190163,0.4357059688857014,0.6818384975676377,-1.001094845135783,1.4943926370289375
vienna_2_60C,0.472821234867376,0.09145110764872373,0.2829091452175,0.6228573536700001,0.4427019560815298,0.6281887934447099,-0.8516590379997506,1.6707990873682763
rnastructure_60C,0.48170244818678337,0.08783434323492167,0.30645884785000005,0.6258347046224999,0.47840322038190114,0.5674328734122015,-0.7072154662499942,1.59071162908536
contrafold_2,0.5109321632273084,0.08097678352995512,0.35846448006,0.6492388513275,0.8999833703205267,0.6075006206618956,-0.4601601954360052,1.9735425969684837
