package,RMSE_mean,RMSE_std,RMSE_percentile_2.5,RMSE_percentile_97.5,RMSE_zscore_by_Dataset_mean,RMSE_zscore_by_Dataset_std,RMSE_zscore_by_Dataset_percentile_2.5,RMSE_zscore_by_Dataset_percentile_97.5
contrafold_2_nc,1.5365559567830993,0.3072284977586856,1.137275146115,2.2185497872075,-0.9399218011310573,0.40131207939205304,-1.5372243448845602,-0.08600962142100323
contrafold_2,1.5553455251831796,0.24135881790136665,1.1657343228425,2.0973321609849997,-0.8753563393978344,0.250675298468702,-1.3320619023345455,-0.3520534495912525
rnastructure_60C,1.7001868899364505,0.2454652687619134,1.2972982442475,2.1602033830325,-0.5393319960909035,0.35953283096328176,-1.3232568781595553,0.30205532418503894
contrafold_1,1.8085855169573484,0.4562477574260265,1.3046640095125002,2.9213684280799996,-0.46841957572600934,0.6177325494145659,-1.500200732276822,1.2143946640233731
vienna_2_60C,1.8127998602401747,0.2587180502188336,1.3945645535,2.3433732570175003,-0.35308663721266415,0.27541547805200045,-1.1117339624151557,0.14436692422887004
vienna_1,1.902639621729514,0.26325378510029346,1.5209722233125,2.5000111076125,-0.1632869223509692,0.3299371122075729,-0.9094310366721687,0.45681190984497105
vienna_rnasoft_pars,1.9620715334225318,0.26120610824746615,1.4961225629775001,2.5188491516775,-0.07865484213420074,0.2792253517668755,-0.6641605852421499,0.48561081627029
rnastructure,2.019029510013663,0.2854958573379708,1.6346979431500002,2.7161978038099988,0.020929964981724603,0.2521955362769099,-0.5185147106629048,0.5244192533526728
vienna_2,2.0902174252319017,0.3052337116311454,1.6779720694774998,2.84636042421,0.13646772960393697,0.26331661292097824,-0.34933891434305864,0.8095668678326604
rnastructure_nocoax,2.1296732584640456,0.3235321298400678,1.6884713044549997,2.9278207388874997,0.19285006780233604,0.2610370307925078,-0.32631744865917606,0.8185720306615555
vienna_langdon_pars,2.235571001146786,0.36590294415703417,1.7700341730875,3.0597174198025,0.43551719219310636,0.4324874232398461,-0.3662393995188931,1.2639112137348443
vienna_2_nodangles,3.55860398883005,0.758123455344546,2.4367295392675,5.3697776343950006,2.6322931594625243,0.34951929386903247,1.8399413518710925,3.0810358585916795
