package,Dataset,spearman_mean,spearman_std,spearman_percentile_2.5,spearman_percentile_97.5,spearman_zscore_by_Dataset_mean,spearman_zscore_by_Dataset_std,spearman_zscore_by_Dataset_percentile_2.5,spearman_zscore_by_Dataset_percentile_97.5
contrafold_2,"101, FMN",0.6346667203735002,0.01736928591629831,0.6001915596725,0.6661058800474999,1.0709808946692636,0.2566441521245911,0.5505095404373569,1.54375120657387
contrafold_2,"107, Theo",0.5741152333814001,0.04412425821751305,0.4827799602200001,0.6525129621150001,0.9246798517770363,0.348552041488589,0.21355310083818538,1.5143188251316964
contrafold_2,"107, Trp",0.5657080770649006,0.0433786829338498,0.4829295986875,0.6498107070000001,0.47524323874956304,0.399336605329975,-0.3125027629061632,1.2224107266745656
contrafold_2,"93, FMN",0.42465189050709923,0.039465452259354765,0.34273536311249997,0.49694739929750004,1.0458065751721792,0.3613834992741022,0.24832843584705114,1.7087188423106374
contrafold_2,"95, FMN",0.49278459723379925,0.03275549454226676,0.43106488119,0.55456881553,1.1216578141194047,0.3888867646760208,0.3579245765625537,1.8413338747362569
contrafold_2,"96, FMN",0.6034440626532992,0.057899781459386596,0.487692380135,0.7120416828699999,1.106269803760713,0.5155580133430165,0.0024683991942624573,2.0492923388282094
contrafold_2,"97, FMN",0.5580860463696998,0.025488374322090623,0.5044897829225,0.6056117201675001,1.4097420374617426,0.32589622022241205,0.724928215649626,2.028845105989393
contrafold_2,"98, FMN",0.4228178744417998,0.04351331000131069,0.33377434711250004,0.499647316915,0.6080619147291938,0.7833492059519952,-1.0196464279904622,1.9851840261214637
contrafold_2,"Ribologic, FMN",0.5055245424766006,0.016952245715510995,0.471308829735,0.5366702975950001,1.2047197368016616,0.17659445125843642,0.8531415308126145,1.5725969852079562
contrafold_2,"Ribologic, Theo",0.5039284084509,0.05687956900246392,0.39375564877,0.609813525845,0.6434313507213494,0.36446398927783985,-0.11726352158907657,1.3247278304052064
contrafold_2,"Ribologic, Trp",0.4559018344122004,0.06491651083135416,0.32352324276250005,0.5732827194375,0.1097626016478315,0.587747546035095,-1.0988664306165663,1.1533196986248802
contrafold_2_nc,"101, FMN",0.6325450541736003,0.017128347823658557,0.59806476606,0.664928882785,1.036092019007686,0.2588680296173458,0.5143820186816822,1.5162461768961761
contrafold_2_nc,"107, Theo",0.5800142422720013,0.04398764682427307,0.4886151920125001,0.6608417942075,0.9772726644409165,0.349192242060507,0.23085877387595366,1.6142019451793985
contrafold_2_nc,"107, Trp",0.6162077772273999,0.03896729151146219,0.5333298592075001,0.686409547325,0.955814065137686,0.35293500928488397,0.2386455818736159,1.6059853957901127
contrafold_2_nc,"93, FMN",0.367652283986,0.03846908945917537,0.291228432925,0.437155326005,0.4789171348637833,0.3656632651923691,-0.2689762437787047,1.1658363503386995
contrafold_2_nc,"95, FMN",0.4886121514385001,0.030504538414413016,0.4270154744725,0.5447551233249999,1.0674686525804638,0.37201474869579637,0.37525635341287983,1.7546390356569879
contrafold_2_nc,"96, FMN",0.5433218240159998,0.062321105163761395,0.415693697995,0.64979635892,0.536639688693596,0.5550101370088812,-0.5768453066483118,1.5517752569528571
contrafold_2_nc,"97, FMN",0.5217968024954006,0.025738957447574068,0.47123127639750007,0.5665586721425,0.8900954066354041,0.3404037938331526,0.1845653935411442,1.5364639962091033
contrafold_2_nc,"98, FMN",0.3857901150533004,0.04575053188077976,0.2997325033625,0.4743864133125,-0.0749755911655861,0.8393038731363313,-1.690025798685166,1.5329449905558796
contrafold_2_nc,"Ribologic, FMN",0.3460224734075003,0.020014301724711706,0.30831205645000004,0.384540297665,-0.6220002039387709,0.21648092280435555,-1.0386363951463062,-0.17994143445875277
contrafold_2_nc,"Ribologic, Theo",0.42517866326230036,0.06243794519351392,0.2990162609525,0.539325141895,0.11433184676491878,0.4018713925057097,-0.6794900544343263,0.8803095139707763
contrafold_2_nc,"Ribologic, Trp",0.5045749550715999,0.06143711538103403,0.38744998581750006,0.62212531495,0.5686009976170623,0.5529109765277633,-0.6162942629936373,1.6183606873448961
contrafold_1,"101, FMN",0.6239730031902001,0.01764227502254682,0.5893601484225001,0.656742365985,0.8972281793749355,0.26955102850725404,0.3710219383767896,1.4094689739138833
contrafold_1,"107, Theo",0.5645125681909005,0.04441651068929856,0.47139010027500006,0.6468512700725,0.8442867630029428,0.3507412722548235,0.09848682474994735,1.5232197381382702
contrafold_1,"107, Trp",0.6364617049680003,0.039952856345830526,0.5500293603575,0.7063020096775001,1.15407474591769,0.3553378616831751,0.4421073844309984,1.807795810372315
contrafold_1,"93, FMN",0.33511604734690015,0.039646410375451246,0.25785509404750007,0.410464575715,0.14949489863867627,0.3816289174854516,-0.5879830995581333,0.8772429065492209
contrafold_1,"95, FMN",0.47825845973599995,0.032922544640013346,0.41109156763000004,0.541520418615,0.9320344980130625,0.40366613391887785,0.08309801879367404,1.6956155260181658
contrafold_1,"96, FMN",0.5659793448595996,0.05662191559929002,0.44817448063500004,0.66878728748,0.7452083168126545,0.50543464302503,-0.2907968082008873,1.694276372829868
contrafold_1,"97, FMN",0.546952998985099,0.02559229768095826,0.4960733241925,0.5943637644375,1.2476108880568786,0.3225129126589152,0.5712700419338957,1.8524861051666452
contrafold_1,"98, FMN",0.40048974975129936,0.04277591246176348,0.313073584575,0.48234786412749997,0.18588449425685935,0.7791717004594395,-1.3772853319173364,1.6272013549926985
contrafold_1,"Ribologic, FMN",0.2852850005424,0.02104107948886426,0.24374625525750002,0.322751032365,-1.3154057755957864,0.20473564949958767,-1.729278377581313,-0.90808278920421
contrafold_1,"Ribologic, Theo",0.3592133318969997,0.0693550628792595,0.23356038193000003,0.493404821715,-0.32811709786032545,0.44367834306654313,-1.1454339194896048,0.5365769136782396
contrafold_1,"Ribologic, Trp",0.4819511752957999,0.0614161851966167,0.35323970300749996,0.5942850531175,0.35070860773561086,0.5547882523975517,-0.8106684353518703,1.4296517985989152
